0.1	3.7983	1
0.2	3.9667	1
0.3	4.0946	1
0.4	4.1807	1
0.5	4.2243	1
0.6	4.2251	1
0.7	4.1832	1
0.8	4.0994	1
0.9	3.9747	1
1	3.8105	1
1.1	3.6089	1
1.2	3.3721	1
1.3	3.1028	1
1.4	2.8042	1
1.5	2.4796	1
1.6	2.1325	1
1.7	1.7669	1
1.8	1.3868	1
1.9	0.99639	1
2	0.6	1
2.1	0.20197	1
2.2	-0.19335	1
2.3	-0.58165	1
2.4	-0.95871	1
2.5	-1.3204	1
2.6	-1.6629	1
2.7	-1.9825	1
2.8	-2.2758	1
2.9	-2.5397	1
3	-2.7713	1
3.1	-2.9683	1
3.2	-3.1286	1
3.3	-3.2507	1
3.4	-3.3333	1
3.5	-3.3757	1
3.6	-3.3777	1
3.7	-3.3394	1
3.8	-3.2613	1
3.9	-3.1447	1
4	-2.9909	1
4.1	-2.8019	1
4.2	-2.5799	1
4.3	-2.3277	1
4.4	-2.0482	1
4.5	-1.7447	1
4.6	-1.4209	1
4.7	-1.0804	1
4.8	-0.72735	1
4.9	-0.36581	1
5	-3.1834e-06	1
5.1	0.3658	1
5.2	0.72734	1
5.3	1.0804	1
5.4	1.4208	1
5.5	1.7447	1
5.6	2.0482	1
5.7	2.3277	1
5.8	2.5799	1
5.9	2.8019	1
6	2.9909	1
6.1	3.1447	1
6.2	3.2613	1
6.3	3.3394	1
6.4	3.3777	1
6.5	3.3757	1
6.6	3.3333	1
6.7	3.2507	1
6.8	3.1286	1
6.9	2.9683	1
7	2.7713	1
7.1	2.5397	1
7.2	2.2758	1
7.3	1.9826	1
7.4	1.663	1
7.5	1.3204	1
7.6	0.95872	1
7.7	0.58166	1
7.8	0.19336	1
7.9	-0.20196	1
8	-0.6	1
8.1	-0.99638	1
8.2	-1.3868	1
8.3	-1.7669	1
8.4	-2.1325	1
8.5	-2.4796	1
8.6	-2.8042	1
8.7	-3.1028	1
8.8	-3.3721	1
8.9	-3.6089	1
9	-3.8105	1
9.1	-3.9747	1
9.2	-4.0994	1
9.3	-4.1832	1
9.4	-4.2251	1
9.5	-4.2243	1
9.6	-4.1807	1
9.7	-4.0946	1
9.8	-3.9667	1
9.9	-3.7983	1
10	-3.5909	1
10.1	-3.3467	1
10.2	-3.068	1
10.3	-2.7577	1
10.4	-2.419	1
10.5	-2.0553	1
10.6	-1.6704	1
10.7	-1.2681	1
10.8	-0.85279	1
10.9	-0.42862	1
11	-6.122e-06	1
11.1	0.4286	1
11.2	0.85278	1
11.3	1.2681	1
11.4	1.6703	1
11.5	2.0553	1
11.6	2.419	1
11.7	2.7577	1
11.8	3.068	1
11.9	3.3467	1
12	3.5909	1
12.1	3.7983	1
12.2	3.9667	1
12.3	4.0946	1
12.4	4.1807	1
12.5	4.2243	1
12.6	4.2251	1
12.7	4.1832	1
12.8	4.0994	1
12.9	3.9747	1
13	3.8105	1
13.1	3.6089	1
13.2	3.3721	1
13.3	3.1028	1
13.4	2.8042	1
13.5	2.4796	1
13.6	2.1325	1
13.7	1.7669	1
13.8	1.3868	1
13.9	0.99639	1
14	0.6	1
14.1	0.20197	1
14.2	-0.19335	1
14.3	-0.58165	1
14.4	-0.95871	1
14.5	-1.3204	1
14.6	-1.6629	1
14.7	-1.9825	1
14.8	-2.2758	1
14.9	-2.5397	1
15	-2.7713	1
15.1	-2.9683	1
15.2	-3.1286	1
15.3	-3.2507	1
15.4	-3.3333	1
15.5	-3.3757	1
15.6	-3.3777	1
15.7	-3.3394	1
15.8	-3.2613	1
15.9	-3.1447	1
16	-2.9909	1
16.1	-2.8019	1
16.2	-2.5799	1
16.3	-2.3277	1
